V1GY1 Raw °,V1GY2 Raw °,V1GY3 Raw °,Seq
352.7,352.95,352.79,001
192.3,192.57,192.42,002
350.26,350.51,350.37,003
196.64,196.88,196.74,004
349.6,349.86,349.7,005
189.45,189.7,189.55,006
353.15,353.41,353.25,007
185.75,186.02,185.85,008
353.99,354.23,354.06,009
187.24,187.5,187.34,010
350.54,350.8,350.65,011
185.0,185.28,185.11,012
352.48,352.73,352.57,013
181.23,181.51,181.35,014
355.84,356.09,355.95,015
180.33,180.6,180.45,016
357.01,357.27,357.14,017
179.4,179.68,179.54,018
355.5,355.76,355.59,019
187.24,187.51,187.35,020
355.05,355.3,355.15,021
180.24,180.54,180.36,022
1.87,2.12,1.96,023
179.74,180.04,179.87,024
1.27,1.53,1.31,025
182.9,183.19,183.03,026
359.52,359.77,359.58,027
181.65,181.94,181.76,028
0.31,0.55,0.37,029
177.32,177.61,177.43,030
5.6,5.85,5.68,031
173.19,173.49,173.3,032
3.43,3.69,3.51,033
174.88,175.18,174.99,034
1.19,1.44,1.24,035
175.52,175.82,175.61,036
