V1 SMA m,G1 SMA m,G2 SMA m,G3 SMA m,NB1 SMA m,NB2 SMA m,S01 SMA m,S02 SMA m,S03 SMA m,S04 SMA m,S05 SMA m,S06 SMA m,S07 SMA m,S08 SMA m,S09 SMA m,S10 SMA m,S11 SMA m,S12 SMA m,S01T01 SMA m,S02T01 SMA m,S03T01 SMA m,S04T01 SMA m,S05T01 SMA m,S06T01 SMA m,S07T01 SMA m,S08T01 SMA m,S09T01 SMA m,S10T01 SMA m,S11T01 SMA m,S12T01 SMA m,S01T16 SMA m,S02T16 SMA m,S03T16 SMA m,S04T16 SMA m,S05T16 SMA m,S06T16 SMA m,S07T16 SMA m,S08T16 SMA m,S09T16 SMA m,S10T16 SMA m,S11T16 SMA m,S12T16 SMA m,S01T34 SMA m,S02T34 SMA m,S03T34 SMA m,S04T34 SMA m,S05T34 SMA m,S06T34 SMA m,S07T34 SMA m,S08T34 SMA m,S09T34 SMA m,S10T34 SMA m,S11T34 SMA m,S12T34 SMA m,TB1 SMA m,TB2 SMA m,TB3 SMA m,TB4 SMA m,TB5 SMA m,TB6 SMA m,TB7 SMA m,TB8 SMA m,TB9 SMA m,TB10 SMA m,TB11 SMA m,TB12 SMA m,Seq
0.52,0.75,0.73,0.72,0.79,0.83,0.84,0.82,0.79,0.83,0.82,0.81,0.83,0.8,0.8,0.81,0.82,0.87,0.85,0.83,0.8,0.84,0.84,0.82,0.84,0.81,0.8,0.82,0.83,0.89,2.06,2.02,1.97,1.95,1.93,1.92,1.93,1.94,1.95,1.98,2.02,2.08,1.3,1.26,1.15,1.15,1.11,1.11,1.11,1.11,1.14,1.15,1.25,1.3,1.3,1.26,1.15,1.15,1.11,1.11,1.11,1.11,1.14,1.15,1.25,1.3,001
0.52,0.75,0.74,0.74,0.79,0.81,0.85,0.82,0.8,0.84,0.83,0.81,0.81,0.78,0.78,0.78,0.79,0.88,0.86,0.83,0.81,0.85,0.85,0.82,0.82,0.79,0.79,0.78,0.8,0.89,2.04,2.0,1.94,1.92,1.9,1.89,1.89,1.9,1.91,1.94,1.98,2.03,1.29,1.26,1.15,1.15,1.11,1.11,1.11,1.11,1.14,1.17,1.26,1.3,1.29,1.26,1.15,1.15,1.11,1.11,1.11,1.11,1.14,1.17,1.26,1.3,002
0.52,0.85,0.72,0.71,0.79,0.8,0.86,0.84,0.81,0.85,0.85,0.82,0.82,0.8,0.8,0.79,0.8,0.87,0.87,0.85,0.82,0.86,0.87,0.83,0.84,0.81,0.81,0.79,0.81,0.89,2.1,2.06,2.02,2.0,1.99,1.99,1.99,2.0,2.01,2.04,2.07,2.12,1.3,1.26,1.14,1.14,1.11,1.09,1.08,1.08,1.11,1.13,1.24,1.29,1.3,1.26,1.14,1.14,1.11,1.09,1.08,1.08,1.11,1.13,1.25,1.29,003
0.53,0.84,0.77,0.74,0.8,0.81,0.86,0.84,0.82,0.87,0.86,0.83,0.83,0.8,0.8,0.79,0.8,0.89,0.87,0.85,0.83,0.89,0.88,0.85,0.84,0.81,0.81,0.8,0.81,0.9,2.05,2.01,1.95,1.93,1.91,1.9,1.89,1.9,1.92,1.94,1.98,2.03,1.3,1.27,1.16,1.16,1.12,1.12,1.11,1.12,1.15,1.15,1.25,1.3,1.3,1.27,1.16,1.16,1.12,1.12,1.11,1.12,1.15,1.15,1.25,1.3,004
0.5,0.85,0.72,0.71,0.79,0.79,0.86,0.83,0.81,0.85,0.85,0.81,0.82,0.79,0.79,0.78,0.79,0.87,0.86,0.84,0.82,0.86,0.86,0.83,0.83,0.8,0.8,0.79,0.8,0.89,2.04,2.0,1.94,1.92,1.9,1.9,1.89,1.9,1.92,1.95,1.99,2.04,1.29,1.25,1.13,1.13,1.1,1.1,1.1,1.1,1.13,1.17,1.24,1.28,1.29,1.25,1.13,1.13,1.1,1.1,1.1,1.1,1.13,1.17,1.24,1.28,005
0.5,0.83,0.72,0.71,0.78,0.79,0.85,0.83,0.81,0.84,0.82,0.81,0.81,0.78,0.78,0.77,0.78,0.87,0.86,0.84,0.82,0.85,0.83,0.83,0.82,0.79,0.79,0.78,0.79,0.89,2.03,1.98,1.94,1.92,1.89,1.88,1.88,1.89,1.9,1.93,1.97,2.03,1.29,1.29,1.15,1.14,1.1,1.1,1.1,1.1,1.13,1.13,1.24,1.33,1.29,1.29,1.15,1.14,1.1,1.1,1.1,1.1,1.13,1.13,1.24,1.33,006
0.5,0.74,0.71,0.7,0.78,0.79,0.84,0.82,0.78,0.81,0.8,0.79,0.8,0.78,0.77,0.77,0.78,0.87,0.85,0.83,0.79,0.83,0.81,0.81,0.82,0.79,0.78,0.78,0.79,0.88,2.03,1.99,1.94,1.92,1.9,1.89,1.89,1.9,1.91,1.95,1.98,2.04,1.28,1.28,1.14,1.13,1.1,1.1,1.1,1.1,1.13,1.13,1.24,1.28,1.28,1.28,1.14,1.13,1.1,1.1,1.1,1.1,1.13,1.13,1.24,1.29,007
0.5,0.74,0.71,0.7,0.78,0.79,0.84,0.82,0.79,0.82,0.8,0.8,0.8,0.77,0.77,0.77,0.78,0.87,0.85,0.83,0.79,0.83,0.81,0.81,0.81,0.78,0.78,0.77,0.78,0.89,2.04,1.99,1.94,1.93,1.9,1.89,1.89,1.9,1.91,1.95,1.98,2.04,1.28,1.24,1.14,1.14,1.1,1.1,1.1,1.1,1.13,1.17,1.24,1.29,1.28,1.24,1.14,1.14,1.1,1.1,1.1,1.1,1.13,1.17,1.24,1.3,008
0.5,0.74,0.71,0.7,0.78,0.79,0.84,0.82,0.78,0.81,0.8,0.79,0.8,0.78,0.77,0.77,0.78,0.87,0.85,0.83,0.79,0.82,0.81,0.81,0.82,0.79,0.78,0.78,0.79,0.89,2.06,2.02,1.97,1.96,1.93,1.93,1.93,1.95,1.97,2.0,2.04,2.1,1.28,1.26,1.13,1.13,1.1,1.09,1.09,1.09,1.11,1.11,1.18,1.28,1.28,1.26,1.13,1.13,1.1,1.09,1.09,1.09,1.11,1.11,1.18,1.28,009
0.5,0.74,0.71,0.7,0.78,0.79,0.85,0.82,0.79,0.82,0.8,0.8,0.8,0.77,0.77,0.77,0.78,0.87,0.86,0.83,0.8,0.84,0.81,0.81,0.81,0.78,0.78,0.77,0.78,0.89,2.04,1.99,1.94,1.93,1.9,1.89,1.89,1.9,1.91,1.94,1.98,2.04,1.29,1.25,1.14,1.14,1.1,1.1,1.1,1.1,1.13,1.14,1.24,1.28,1.29,1.25,1.14,1.14,1.1,1.1,1.1,1.1,1.13,1.14,1.24,1.28,010
0.5,0.75,0.72,0.7,0.78,0.79,0.84,0.82,0.78,0.81,0.8,0.79,0.8,0.78,0.77,0.77,0.78,0.87,0.85,0.83,0.79,0.82,0.81,0.81,0.82,0.79,0.78,0.78,0.79,0.89,2.03,1.98,1.93,1.92,1.89,1.88,1.88,1.89,1.91,1.94,1.98,2.03,1.28,1.26,1.13,1.13,1.1,1.1,1.1,1.1,1.13,1.13,1.23,1.27,1.28,1.26,1.13,1.13,1.1,1.1,1.1,1.1,1.13,1.13,1.23,1.27,011
0.5,0.74,0.71,0.7,0.78,0.79,0.84,0.82,0.78,0.82,0.8,0.8,0.8,0.78,0.77,0.77,0.78,0.87,0.85,0.83,0.79,0.83,0.81,0.81,0.82,0.79,0.78,0.78,0.79,0.88,2.03,1.98,1.93,1.92,1.89,1.88,1.88,1.89,1.91,1.94,1.98,2.03,1.29,1.26,1.14,1.14,1.1,1.1,1.1,1.1,1.13,1.13,1.23,1.27,1.29,1.26,1.14,1.14,1.1,1.1,1.1,1.1,1.13,1.13,1.23,1.27,012
0.5,0.74,0.71,0.7,0.78,0.79,0.84,0.82,0.78,0.81,0.8,0.79,0.8,0.77,0.76,0.77,0.78,0.87,0.85,0.83,0.79,0.83,0.81,0.81,0.81,0.78,0.77,0.78,0.79,0.88,2.04,1.99,1.94,1.92,1.89,1.88,1.88,1.89,1.91,1.94,1.97,2.03,1.29,1.25,1.14,1.14,1.1,1.1,1.1,1.1,1.13,1.13,1.24,1.27,1.29,1.25,1.14,1.14,1.1,1.1,1.1,1.1,1.13,1.13,1.24,1.27,013
