(G1S1 Position) - (G1S2 Position) m,(G2S1 Position) - (G2S2 Position) m,(G3S1 Position) - (G3S2 Position) m,(G1 Position) - (G2 Position) m,(G2 Position) - (G3 Position) m,Seq
10.03,10.84,10.39,38.63,38.29,001
9.62,10.98,10.6,37.9,37.75,002
9.97,10.91,10.3,38.57,38.36,003
9.84,10.96,10.66,38.54,38.36,004
9.86,10.95,10.27,38.48,38.31,005
9.94,10.93,10.44,39.0,38.77,006
10.25,10.86,10.31,38.85,38.89,007
10.04,10.84,10.58,38.89,37.29,008
10.17,10.82,10.44,38.69,37.42,009
9.95,10.82,10.62,38.83,37.3,010
10.21,10.85,10.48,38.79,37.55,011
10.12,10.87,10.6,39.06,37.43,012
10.16,10.89,10.4,38.7,37.5,013
10.12,10.15,10.68,37.77,37.01,014
10.21,10.25,10.42,37.53,37.19,015
10.19,10.12,9.97,37.78,36.93,016
10.13,10.19,9.76,37.33,36.84,017
10.07,10.12,9.98,37.73,37.0,018
10.17,10.38,9.85,37.76,37.44,019
10.02,10.19,9.97,37.91,37.12,020
10.17,10.37,9.8,37.79,37.35,021
10.18,10.18,9.96,37.81,37.0,022
10.17,10.32,9.76,37.5,37.01,023
10.01,10.24,10.04,37.48,36.85,024
10.18,10.34,9.76,37.41,37.11,025
9.92,10.28,10.0,37.57,37.11,026
10.18,10.4,9.81,37.38,37.09,027
10.12,10.25,10.13,37.7,36.89,028
10.22,10.31,9.87,37.51,37.02,029
10.29,10.32,10.06,37.77,36.87,030
10.04,10.36,9.97,37.55,36.85,031
10.3,10.27,9.92,37.7,36.75,032
