S01 ClosureX m,S02 ClosureX m,S03 ClosureX m,S04 ClosureX m,S05 ClosureX m,S06 ClosureX m,S07 ClosureX m,S08 ClosureX m,S09 ClosureX m,S10 ClosureX m,S11 ClosureX m,S12 ClosureX m,Seq
55.11,26.59,88.72,45.07,45.55,-27.95,-3.93,-34.43,-15.73,-83.21,-11.12,30.98,001
35.82,51.04,151.31,135.79,141.01,79.5,82.84,32.99,54.52,16.86,19.26,82.11,002
-29.38,-39.7,59.48,-2.55,7.43,-51.65,-34.14,-62.69,-17.02,-59.21,-19.92,55.22,003
17.78,54.43,135.88,134.62,146.73,86.56,115.88,59.66,89.66,21.97,38.48,41.16,004
29.69,44.18,150.59,102.76,70.81,124.89,49.12,2.74,47.09,-46.37,8.11,54.04,005
44.3,86.22,210.58,142.17,105.11,133.7,132.31,66.5,105.16,61.1,55.83,110.92,006
104.34,150.78,294.55,186.03,106.79,187.35,180.46,111.37,155.26,49.64,105.2,106.21,007
-80.79,17.93,104.21,55.64,65.16,18.71,55.26,-7.83,-5.88,-16.78,-34.88,-44.9,008
63.83,85.1,190.3,131.27,122.89,90.08,102.96,43.77,81.54,33.88,55.38,87.75,009
-28.33,30.38,90.28,69.76,81.32,27.37,48.81,0.39,60.38,30.18,-11.09,70.55,010
-58.87,-12.72,59.73,-9.48,4.69,-70.44,-24.7,-73.23,-67.04,-4.19,-70.86,15.72,011
45.63,47.84,116.28,60.31,79.93,20.89,37.09,-25.73,17.32,22.33,-32.3,48.25,012
58.66,80.79,209.05,196.76,193.07,119.62,159.2,123.95,49.85,55.72,50.22,107.84,013
-41.3,-22.66,52.19,23.12,21.03,-51.97,14.57,-78.83,-107.48,3.92,-85.29,-6.67,014
37.1,86.81,175.23,166.98,192.36,129.75,138.43,91.34,30.98,58.77,58.08,121.98,015
-78.48,-18.35,0.56,2.78,9.66,-93.69,-53.23,-90.73,-118.11,8.67,-43.65,43.85,016
14.57,38.1,115.41,128.31,141.83,28.97,84.09,47.34,-5.96,38.75,37.6,91.88,017
-6.8,-44.85,-22.94,-18.07,-3.17,-109.62,-62.36,-104.03,-128.16,-6.31,-73.42,12.61,018
68.89,93.79,198.43,143.6,196.16,81.53,124.04,58.54,1.45,37.65,45.76,89.67,019
-28.35,-21.23,40.9,-18.66,66.17,-58.34,-7.66,-60.6,-107.13,6.0,-79.21,-6.55,020
55.28,73.95,214.3,117.46,259.73,88.33,153.98,74.27,44.02,56.56,51.83,112.19,021
22.88,11.2,78.61,16.25,120.33,-8.95,8.46,-17.88,-110.11,1.56,-80.04,21.52,022
122.77,172.27,292.54,225.37,339.89,103.73,203.05,130.68,105.23,73.09,102.65,168.87,023
-112.79,-61.76,-88.82,-72.66,75.62,-222.15,-74.03,-143.0,-170.51,-221.94,-167.4,-69.63,024
145.14,184.57,225.78,203.7,381.0,121.33,189.73,96.71,70.86,70.28,89.38,149.46,025
-92.5,-40.06,-68.1,-85.1,65.74,-102.18,-47.66,-96.57,-172.97,-39.18,-208.27,-2.15,026
104.46,133.95,172.85,151.55,320.96,65.1,143.17,53.32,37.85,45.84,49.59,91.05,027
-16.17,9.32,17.78,16.32,111.11,35.06,34.58,-58.79,7.46,-40.6,-77.87,40.65,028
105.63,136.31,211.58,193.31,272.11,143.02,169.47,123.6,122.88,89.98,86.01,120.85,029
-82.11,-24.57,-22.58,-54.28,12.56,-32.33,-51.59,-119.57,-93.17,-201.6,-130.59,-34.58,030
98.06,136.06,177.33,161.43,212.74,83.24,157.06,63.34,92.38,46.86,53.57,120.56,031
0.26,27.93,49.09,10.79,57.47,-58.68,12.29,-36.3,-2.03,-134.96,-67.47,23.01,032
99.67,138.96,160.29,148.7,212.1,78.95,148.66,63.32,68.75,56.68,36.03,112.17,033
