(S01T01 Position) - (S02T01 Position) m,(S02T01 Position) - (S03T01 Position) m,(S03T01 Position) - (S04T01 Position) m,(S04T01 Position) - (S05T01 Position) m,(S05T01 Position) - (S06T01 Position) m,(S06T01 Position) - (S07T01 Position) m,(S07T01 Position) - (S08T01 Position) m,(S08T01 Position) - (S09T01 Position) m,(S09T01 Position) - (S10T01 Position) m,(S10T01 Position) - (S11T01 Position) m,(S11T01 Position) - (S12T01 Position) m,(S01T01 Position) - (S12T01 Position) m,Seq
115.23,114.54,113.94,113.33,111.6,117.58,110.08,113.49,114.78,113.94,114.64,1252.99,001
115.18,114.17,113.78,113.2,111.3,118.2,111.07,113.67,114.98,114.2,114.71,1254.31,002
115.3,114.59,113.92,113.25,111.48,116.85,110.17,113.22,114.88,114.0,114.77,1252.25,003
115.24,114.37,113.69,113.12,111.18,116.27,111.0,113.64,115.07,114.28,114.68,1252.32,004
115.25,114.49,114.11,113.25,111.54,117.67,110.59,113.49,114.88,113.94,114.73,1253.7,005
115.31,114.27,113.92,113.14,111.48,118.85,111.39,113.89,114.96,114.31,114.74,1256.07,006
115.26,114.44,113.99,113.2,111.41,117.02,110.6,113.62,114.88,114.11,114.68,1252.98,007
115.2,114.18,113.97,113.1,111.0,114.24,110.39,113.86,114.85,114.26,114.95,1249.75,008
115.26,114.44,113.94,113.2,111.44,116.89,110.76,113.65,114.57,113.92,114.69,1252.44,009
115.34,114.16,114.0,112.98,110.49,111.48,109.87,113.79,114.81,114.26,114.83,1245.72,010
115.2,114.31,114.14,113.21,111.47,116.6,110.61,113.53,114.92,113.99,114.86,1252.57,011
115.31,114.45,113.99,113.17,111.39,115.28,110.36,113.48,114.93,114.12,114.77,1251.04,012
115.49,114.23,114.0,113.07,111.14,114.53,110.23,113.62,114.86,114.19,114.78,1249.92,013
115.25,114.41,114.13,113.19,111.51,116.02,110.51,113.6,114.93,113.97,114.87,1252.19,014
115.21,114.41,113.75,113.05,110.26,106.13,106.95,112.98,114.85,114.04,114.74,1235.98,015
115.33,114.18,113.25,113.08,111.06,112.98,109.44,113.32,114.96,114.12,114.81,1246.3,016
115.21,113.87,113.48,113.02,110.88,112.09,109.4,113.46,114.84,114.05,114.76,1244.8,017
115.32,114.03,113.33,113.1,111.1,113.07,109.91,113.54,114.9,114.1,114.84,1247.1,018
115.31,114.41,113.86,113.14,111.26,114.69,110.16,113.49,114.86,114.08,114.76,1249.78,019
115.33,114.58,113.93,113.26,111.61,119.03,111.39,113.73,114.92,114.15,114.81,1256.65,020
115.29,114.53,113.9,112.46,110.73,113.58,110.06,113.75,114.63,114.19,114.69,1247.61,021
115.37,114.61,113.93,113.25,111.53,117.08,110.72,113.6,114.94,114.03,114.85,1253.77,022
115.47,114.52,113.87,113.06,110.87,112.47,109.56,113.68,114.65,114.07,114.76,1246.72,023
115.3,114.61,113.88,113.21,111.27,113.59,109.89,113.52,114.98,113.93,115.02,1249.04,024
115.36,115.01,113.34,113.02,110.45,108.77,109.44,113.55,114.7,114.02,114.74,1242.08,025
115.29,114.57,113.85,113.17,110.87,114.31,110.23,113.58,115.03,114.03,115.11,1249.86,026
115.42,114.81,113.54,113.05,110.79,111.84,109.49,113.64,114.56,113.97,114.79,1245.63,027
115.34,114.55,113.83,113.13,111.11,115.32,110.49,113.58,114.93,114.12,114.94,1251.26,028
115.31,114.91,113.43,113.12,111.08,114.72,110.32,113.72,114.66,114.05,114.75,1249.84,029
115.3,114.61,113.87,113.17,111.17,112.41,109.19,113.47,114.95,113.88,115.12,1246.98,030
115.29,114.4,113.83,113.11,111.35,115.36,110.73,113.59,114.93,114.18,114.78,1251.34,031
115.36,114.69,113.99,113.24,111.33,113.01,108.5,113.37,114.89,113.8,115.05,1246.99,032
115.17,114.34,113.77,113.05,111.06,114.35,110.86,113.58,115.15,113.98,114.78,1249.78,033
115.34,114.65,113.99,113.19,111.2,111.9,108.19,113.35,114.86,113.86,114.91,1245.19,034
115.13,114.47,113.75,113.06,109.95,110.16,109.96,113.52,115.16,113.94,114.68,1243.5,035
115.43,114.68,113.95,113.2,111.58,114.32,109.51,113.51,114.91,113.89,115.1,1249.86,036
