V1 BSP m/s,V1WS1 Calc,Seq,Hdg,Week
2.1541,2.36,1.0,0.0,35.0
2.358,2.2,2.0,180.0,35.0
2.1108,2.36,3.0,0.0,35.0
2.3376,2.31,4.0,180.0,35.0
2.1581,2.42,5.0,0.0,35.0
2.3555,2.38,6.0,180.0,35.0
2.3058,2.39,7.0,0.0,35.0
2.352,2.47,8.0,180.0,36.0
2.3426,2.31,9.0,0.0,36.0
2.3384,2.55,10.0,180.0,36.0
2.3489,2.35,11.0,0.0,36.0
2.3601,2.41,12.0,180.0,36.0
2.3569,2.27,13.0,0.0,36.0
2.3585,2.49,14.0,180.0,36.0
2.3583,2.2,15.0,0.0,36.0
2.3141,2.5,16.0,180.0,36.0
2.367,2.29,17.0,0.0,36.0
2.2216,2.51,18.0,180.0,36.0
2.3595,2.19,19.0,0.0,36.0
2.1348,2.49,20.0,180.0,36.0
2.3679,2.29,21.0,0.0,37.0
2.183,2.5,22.0,180.0,37.0
2.3164,2.22,23.0,0.0,37.0
2.1322,2.51,24.0,180.0,37.0
2.3526,2.17,25.0,0.0,37.0
2.1214,2.56,26.0,180.0,37.0
2.3603,2.11,27.0,0.0,37.0
2.1689,2.53,28.0,180.0,37.0
2.3584,2.13,29.0,0.0,37.0
2.2573,2.49,30.0,180.0,37.0
2.3594,2.18,31.0,0.0,37.0
2.2613,2.51,32.0,180.0,38.0
2.3619,2.15,33.0,0.0,38.0
2.3281,2.56,34.0,180.0,38.0
2.4501,2.27,35.0,0,38
2.3967,2.52,36.0,180,38
